Season,Matchday,Date,Time,Home Team,Away Team,Result,Home Goals,Away Goals,Status,Match URL
2025,15,6/14/25,6:30 PM,Riteriai,Banga,1:2,1,2,played,https://www.transfermarkt.com/fk-riteriai_fk-banga-gargzdai/index/spielbericht/4564366
2025,15,,7:00 PM,DFK Dainava,Hegelmann,2:2,2,2,played,https://www.transfermarkt.com/dfk-dainava-alytus_fc-hegelmann/index/spielbericht/4564365
2025,16,6/19/25,6:30 PM,Panevėžys,DFK Dainava,2:0,2,0,played,https://www.transfermarkt.com/fk-panevezys_dfk-dainava-alytus/index/spielbericht/4564318
2025,16,,,Sūduva,Žalgiris,2:2,2,2,played,https://www.transfermarkt.com/fk-suduva-marijampole_fk-zalgiris-vilnius/index/spielbericht/4564319
2025,16,,7:00 PM,Hegelmann,Kauno Žalgiris,1:2,1,2,played,https://www.transfermarkt.com/fc-hegelmann_fk-kauno-zalgiris/index/spielbericht/4564316
2025,16,,,Riteriai,FA Šiauliai,1:0,1,0,played,https://www.transfermarkt.com/fk-riteriai_fa-siauliai/index/spielbericht/4564317
2025,16,,,Džiugas,Banga,0:1,0,1,played,https://www.transfermarkt.com/fc-dziugas-telsiai_fk-banga-gargzdai/index/spielbericht/4564320
2025,17,6/24/25,5:30 PM,Žalgiris,Hegelmann,0:1,0,1,played,https://www.transfermarkt.com/fk-zalgiris-vilnius_fc-hegelmann/index/spielbericht/4564352
2025,17,,,DFK Dainava,Banga,2:1,2,1,played,https://www.transfermarkt.com/dfk-dainava-alytus_fk-banga-gargzdai/index/spielbericht/4564353
2025,17,,6:00 PM,Kauno Žalgiris,Panevėžys,3:0,3,0,played,https://www.transfermarkt.com/fk-kauno-zalgiris_fk-panevezys/index/spielbericht/4564354
2025,17,6/25/25,6:00 PM,FA Šiauliai,Sūduva,2:2,2,2,played,https://www.transfermarkt.com/fa-siauliai_fk-suduva-marijampole/index/spielbericht/4564355
2025,17,,,Džiugas,Riteriai,2:1,2,1,played,https://www.transfermarkt.com/fc-dziugas-telsiai_fk-riteriai/index/spielbericht/4564356
